x1  x2  x3  x4  x5
173	65	264	107	171
166	58	250	84	143
176	68	272	88	156
163	56	246	102	158
183	74	285	97	171
178	69	274	96	165
187	77	292	104	182
174	66	266	94	160
160	53	239	89	142
173	65	265	72	137
175	67	270	64	132
156	50	232	90	140
171	63	260	126	189
188	78	294	70	149
182	73	284	101	174
173	65	264	105	170
166	58	251	83	141
164	57	248	83	140
179	70	277	83	153
169	61	257	121	182
174	66	267	109	175
168	60	254	99	159
163	56	245	123	179
150	44	220	82	126
155	49	231	71	121
172	64	263	92	156
171	63	261	84	147
172	64	264	91	155
182	73	283	124	197
160	53	239	106	159
173	65	264	80	145
169	62	257	102	164
163	56	246	147	204
177	69	274	124	193
163	56	245	109	165
172	64	262	77	140
171	63	262	87	151
170	62	258	140	202
159	52	237	126	178
165	58	249	109	167
